EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,forward_5_v2_eval_rewards,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,Alpha_Mean,Alpha_Std,Alpha_Max,Alpha_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/embedding_norm_Mean,Training/embedding_norm_Std,Training/embedding_norm_Max,Training/embedding_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
10,3.785621404647827,4200,-5483.99594,-1084.72236,-5.60276,0.00191,3.78239,0.00126,-5530.01285,-5.03936,0.02827,-4.95337,-5.10580,1.87931,0.03292,1.93657,1.82315,-27.11485,0.82783,-25.11723,-29.33536,841.26159,30.68919,908.12030,776.62494,979.95298,110.48190,1493.97913,765.40326,936.97968,86.93359,1279.23853,747.16486,0.00282,0.00045,0.00412,0.00169,39469.18272,13988.84681,96219.26562,19279.28906,34787.02549,10265.87979,73796.47656,15166.94043,1.28070,0.04318,1.38975,1.16151,1.57697,0.04305,1.70442,1.46237,2.00000,0.00000,2.00000,2.00000,-8.68162,1.36417,-5.68764,-10.40419,49.00892,0.55297,50.98297,47.51923,19.20301,0.37097,20.18696,17.84780,69.16392,2.18446,73.39417,65.15010,-2.23194,2.15760,1.82772,-9.58734,1.72883,0.17599,2.28241,1.38198,51.45799,2.92940,59.56354,45.45627,731.27525,180.32022,948.46881,265.92636,-565.26689,153.52293,-234.79163,-734.31976
11,3.850724220275879,4400,-5475.77611,-1055.80857,-5.60125,0.00196,3.84713,0.00156,-5439.03261,-5.00548,0.02964,-4.89245,-5.10886,1.99623,0.03460,2.05645,1.93716,-29.44846,0.86561,-27.44888,-31.90563,942.18406,33.35128,1022.78772,875.00256,1264.08976,121.26209,1751.87390,899.21759,1235.79597,113.21222,1581.87793,824.77228,0.00301,0.00048,0.00437,0.00181,50949.67460,15447.63956,94063.34375,21122.58008,47868.57784,13926.86380,87736.58594,16610.02148,1.24955,0.04315,1.36492,1.12997,1.61018,0.03997,1.71189,1.50026,2.00000,0.00000,2.00000,2.00000,-9.20748,1.88404,-6.08140,-12.30715,48.62802,0.58293,50.27151,47.00808,19.37739,0.39266,20.30302,18.41266,72.10508,6.42816,87.14488,65.15236,-2.24335,2.20674,3.03753,-11.90695,1.69771,0.16715,2.15819,1.26988,51.14424,2.99318,59.65187,45.97437,719.28064,194.01801,948.46881,336.10898,-555.02817,159.92787,-250.25880,-734.31976
12,3.7196590900421143,4600,-5480.33336,-1098.37382,-5.60649,0.00163,3.71666,0.00130,-5526.06947,-5.02781,0.02600,-4.92806,-5.09278,2.12029,0.03704,2.18472,2.05708,-32.29502,0.84658,-30.39104,-34.34809,1061.32758,34.95838,1139.40625,986.16699,1440.09663,143.18445,1933.94849,1138.35156,1382.24699,129.68479,1794.14844,1084.89624,0.00319,0.00060,0.00558,0.00160,61404.33392,20949.94117,125341.66406,23349.43164,55191.10622,14047.53181,88613.82812,25015.91992,1.27373,0.03900,1.39312,1.17151,1.59178,0.03878,1.68261,1.47861,2.00000,0.00000,2.00000,2.00000,-9.64833,2.06446,-6.08140,-12.30715,48.99747,0.54768,50.60725,47.51286,19.19698,0.36426,20.22184,18.08497,73.99441,7.28046,86.97009,65.11566,-2.01376,2.09599,1.93252,-12.54301,1.70542,0.16521,2.21325,1.18441,51.12882,2.58182,59.09107,45.69383,721.31869,187.90701,948.46881,313.67026,-553.21324,156.78484,-234.72142,-734.31976
13,3.653684377670288,4800,-5471.73523,-838.09731,-5.64252,0.00175,3.64195,0.00105,-5404.48919,-5.04063,0.02490,-4.97280,-5.11410,2.25268,0.03945,2.32133,2.18538,-35.06699,0.85903,-33.10388,-37.02409,1186.19027,36.92436,1273.91931,1115.29248,1689.96471,166.26099,2366.22925,1298.46033,1658.35984,211.12286,2647.14819,1226.69653,0.00345,0.00069,0.00600,0.00199,82680.24594,23452.34820,149632.57812,36133.61328,78060.13090,27103.43668,190477.73438,27872.26172,1.29139,0.03748,1.41727,1.19174,1.57338,0.03836,1.68168,1.44426,2.00000,0.00000,2.00000,2.00000,-9.24016,1.85924,-5.91087,-12.30715,49.20360,0.48703,50.74272,47.88874,19.06117,0.35226,19.97913,17.85010,72.06124,6.57107,86.96155,65.06010,-2.31150,2.29472,2.45635,-10.40260,1.72465,0.17233,2.43143,1.27293,51.15072,2.94904,63.68943,45.47345,699.37863,188.84915,948.46881,336.10898,-543.56484,159.18707,-266.20511,-734.31976
14,3.6805343627929688,5000,-5473.49317,-1105.37085,-5.60522,0.00197,3.67714,0.00135,-5471.33665,-5.03582,0.02596,-4.96002,-5.10114,2.39284,0.04149,2.46504,2.32203,-37.32524,0.87614,-35.29324,-39.31997,1304.73929,39.08825,1385.68689,1223.94495,2162.01446,210.61598,2832.91797,1690.50586,2141.98958,209.06656,2856.96167,1638.95862,0.00381,0.00066,0.00572,0.00214,95146.11768,28870.17940,197566.82812,38430.88281,86536.16057,25393.87019,154697.60938,38707.83984,1.26808,0.04194,1.37392,1.17352,1.59215,0.04329,1.71061,1.46937,2.00000,0.00000,2.00000,2.00000,-9.25485,1.88471,-5.91529,-12.30715,48.80266,0.53809,50.06827,47.48473,19.25920,0.34537,20.13062,17.94955,72.43640,6.53316,86.97943,65.10303,-2.76694,2.23586,3.02628,-12.71689,1.68115,0.17337,2.17774,1.28228,50.72833,3.01682,60.09779,45.72436,707.47400,184.81347,948.46881,361.92502,-543.91134,158.91009,-266.20511,-734.31976
15,3.601078748703003,5200,-5482.40961,-1088.78242,-5.59205,0.00197,3.59787,0.00115,-5540.85127,-5.02155,0.02667,-4.93943,-5.09594,2.54051,0.04382,2.61679,2.46578,-39.66962,0.90683,-37.45309,-42.20731,1432.34566,41.65555,1507.83948,1348.55225,2634.12741,212.88684,3261.98315,2099.79590,2660.58129,270.21801,3801.32349,2064.50366,0.00421,0.00081,0.00651,0.00195,114047.45150,27904.18836,200056.15625,51120.53906,114188.54295,37922.23582,293779.81250,39763.89844,1.24914,0.04017,1.34664,1.13288,1.61677,0.03957,1.71628,1.51948,2.00000,0.00000,2.00000,2.00000,-11.93546,4.83419,-6.09546,-19.74378,48.56756,0.55694,50.21322,47.21288,19.33051,0.36932,20.36545,18.11421,78.35136,11.69776,101.72810,65.18830,-2.39134,2.40295,1.51749,-12.64416,1.60233,0.17287,2.06467,1.17589,50.97680,2.86925,59.92103,45.21685,712.25144,187.09418,948.46881,342.93387,-568.35905,145.78210,-266.20511,-734.31976
16,3.6659810543060303,5400,-5489.31990,-972.62906,-3.92604,0.00130,3.66325,0.00136,-5505.47145,-5.03796,0.02497,-4.97481,-5.09969,2.69748,0.04686,2.77904,2.61757,-42.54744,0.93395,-40.17717,-44.76062,1582.62859,43.76248,1669.02283,1494.65686,2756.62806,245.74949,3678.17578,2227.84814,2886.79630,337.98880,4170.75342,2310.60278,0.00418,0.00084,0.00680,0.00218,127902.96707,34310.30155,227446.70312,48305.91406,139049.87367,46550.51266,318740.25000,60194.22266,1.27289,0.04294,1.38385,1.15073,1.59524,0.04354,1.69768,1.48863,2.00000,0.00000,2.00000,2.00000,-11.70988,4.78946,-5.76698,-19.74378,48.89620,0.56139,50.28399,47.36159,19.17909,0.39679,20.19252,18.12262,77.40914,11.66716,101.51274,65.12154,-2.12093,1.99971,2.24120,-9.69388,1.61332,0.16651,2.08281,1.02199,50.86861,2.98772,61.25835,44.71159,689.09796,190.45684,948.46881,316.99713,-554.35676,150.79214,-262.27682,-734.31976
17,3.77835750579834,5600,-5485.37009,-949.66826,-5.45241,0.00169,3.77525,0.00135,-5462.98732,-5.04141,0.02463,-4.98297,-5.11366,2.86480,0.04977,2.95139,2.77988,-45.14081,0.90603,-42.85500,-47.60119,1736.28160,47.30788,1835.87732,1639.94592,3363.57434,346.53842,4457.01807,2568.38159,3317.25275,323.38602,4565.06152,2554.78101,0.00444,0.00087,0.00701,0.00212,177469.40543,53366.44748,344910.75000,67077.98438,158388.44801,53665.15847,372620.31250,72912.00781,1.26608,0.03642,1.36540,1.13445,1.60494,0.04015,1.76328,1.48718,2.00000,0.00000,2.00000,2.00000,-12.58610,5.20387,-6.08961,-20.00000,48.90757,0.49073,50.20491,47.64008,19.23402,0.32551,20.21814,18.42220,80.00410,13.35880,102.39153,65.03862,-2.31025,2.36357,2.20324,-10.51012,1.54009,0.20983,2.06705,1.02417,55.97413,4.97786,70.21934,46.33711,918.97740,240.58381,1262.46753,361.92502,-901.41037,290.38917,-266.20511,-1256.01526
18,3.49310302734375,5800,-5475.52400,-1092.73757,-5.64071,0.00174,3.49020,0.00112,-5433.72365,-5.01509,0.02919,-4.92788,-5.08161,3.04183,0.05243,3.13308,2.95228,-47.33532,0.91190,-44.98829,-49.79222,1884.27397,49.80202,1999.43909,1777.03406,4177.57656,442.74771,5496.00732,2989.02026,4106.55969,430.69849,5412.95801,3222.05591,0.00485,0.00091,0.00741,0.00262,192177.55375,58241.36520,375133.75000,80451.57031,173253.96094,49053.61501,375612.90625,82999.76562,1.23914,0.04065,1.33085,1.13691,1.63195,0.04111,1.75462,1.53158,2.00000,0.00000,2.00000,2.00000,-12.56175,5.26612,-6.28491,-20.00000,48.56779,0.52767,49.87520,46.84805,19.35239,0.34780,20.37494,18.52649,79.92655,13.80160,102.35470,65.16518,-2.35825,2.28848,1.72483,-9.67358,1.49583,0.19247,1.98239,0.92247,56.06267,5.09849,72.86114,44.67256,933.84456,233.34463,1262.46753,368.90390,-913.55270,279.45845,-324.47171,-1256.01526
19,3.2248573303222656,6000,-5478.51506,-1028.95083,-5.59639,0.00272,3.22098,0.00110,-5471.17615,-5.01222,0.02619,-4.94019,-5.08918,3.22895,0.05564,3.32577,3.13401,-49.80071,0.90636,-47.67824,-51.75505,2054.32909,51.25239,2174.80371,1951.65906,4675.38422,440.39935,6166.28467,3406.31421,4610.91107,447.13065,6086.63770,3318.20190,0.00496,0.00094,0.00755,0.00291,233700.34937,64310.29686,442372.87500,94609.23438,216639.17715,56110.93236,377084.12500,116439.50000,1.22975,0.03902,1.32289,1.13130,1.64073,0.04049,1.75156,1.53840,2.00000,0.00000,2.00000,2.00000,-12.78648,5.16679,-6.08140,-20.00000,48.50316,0.50493,49.80328,46.91799,19.41744,0.32965,20.38577,18.53398,81.05158,13.58943,102.68498,65.12897,-2.18898,1.97096,2.41977,-10.18269,1.45542,0.21035,1.97331,0.90489,55.34981,4.36423,68.26990,46.26095,906.88841,243.15596,1262.46753,383.07739,-894.11071,285.78468,-335.51651,-1256.01526
