EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,forward_5_v2_eval_rewards,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,Alpha_Mean,Alpha_Std,Alpha_Max,Alpha_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/embedding_norm_Mean,Training/embedding_norm_Std,Training/embedding_norm_Max,Training/embedding_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
53,3.7010865211486816,12800,-5456.69590,-985.90791,-5.59392,0.00145,3.69825,0.00131,-5424.21778,-5.09246,0.02491,-5.02420,-5.16057,24.93184,0.43207,25.68412,24.19470,-139.48719,1.86028,-133.79695,-144.27614,21156.14014,396.65502,21965.17188,20325.28906,312018.42531,29410.14359,439154.06250,245583.25000,322635.61375,29220.95050,421893.90625,249812.79688,0.03816,0.00815,0.06062,0.01965,16175472.25250,4899294.54772,30880494.00000,5579874.50000,16009033.08500,4062410.83385,31508664.00000,7099113.00000,1.30304,0.04080,1.39762,1.13142,1.57097,0.04197,1.72916,1.45297,2.00000,0.00000,2.00000,2.00000,-11.57239,4.68728,-6.39053,-20.00000,49.37687,0.51927,50.63118,47.64823,18.96651,0.35256,20.01164,17.77881,78.41373,11.54854,102.38214,65.19474,-2.27034,2.32074,2.64155,-12.01054,1.41820,0.21033,1.94434,0.57543,53.64659,4.44707,78.67896,46.38931,826.86296,282.11515,1534.09338,339.26480,-793.95574,368.12432,-271.88953,-1836.03784
54,3.7217464447021484,13000,-5463.64476,-1068.61445,-5.60342,0.00118,3.71926,0.00125,-5504.04499,-5.10055,0.02495,-5.01878,-5.14852,26.47812,0.46073,27.27932,25.69186,-142.71740,1.91290,-136.79222,-146.76617,22523.99464,417.28531,23408.42969,21577.95898,339589.72937,33861.86926,486302.40625,264474.00000,355015.95594,34883.88217,468067.90625,288651.71875,0.03901,0.00895,0.07545,0.01621,16812267.45750,5105560.81931,31801080.00000,6459547.00000,18733346.55000,5118005.66485,35521400.00000,8578327.00000,1.31470,0.04176,1.41060,1.21853,1.56083,0.04562,1.67052,1.45058,2.00000,0.00000,2.00000,2.00000,-11.43331,4.61920,-6.39490,-20.00000,49.56648,0.55022,50.95752,48.13560,18.81910,0.36550,19.79125,17.85324,78.56260,11.31434,102.34621,65.09863,-2.39256,2.13061,1.93896,-9.11300,1.41233,0.20713,2.05114,0.86682,53.68041,4.92093,77.17661,44.57132,824.05530,269.31331,1534.09338,296.09940,-799.52249,367.58580,-202.65547,-1836.03784
55,3.700669288635254,13200,-5463.60213,-957.30263,-5.62640,0.00164,3.69767,0.00129,-5490.97641,-5.10473,0.02503,-5.02220,-5.18262,28.12329,0.48947,28.97474,27.28757,-145.51688,1.95031,-140.34552,-150.37505,23984.19687,439.54431,24826.80078,22999.25195,375030.57578,34457.52859,490509.90625,286916.03125,395065.96094,37041.40761,528200.25000,313341.37500,0.04183,0.01020,0.08417,0.02036,18041495.02000,5026197.81977,35006944.00000,7417103.00000,19256412.79500,4539342.99163,31024784.00000,8653648.00000,1.31538,0.04125,1.42046,1.16051,1.56129,0.04575,1.70750,1.44768,2.00000,0.00000,2.00000,2.00000,-11.71089,4.73427,-5.96679,-20.00000,49.61851,0.55761,51.00848,47.97425,18.83433,0.37263,19.69066,17.83420,80.01414,12.20246,102.35912,65.18098,-2.54583,2.48276,2.16684,-10.85446,1.38829,0.22227,1.96994,0.78780,55.75078,5.15717,76.92270,47.12908,940.03880,284.52957,1534.09338,375.66577,-959.41068,389.42252,-324.38654,-1836.03784
56,3.8823671340942383,13400,-5458.17382,-1105.76712,-5.59999,0.00146,3.87929,0.00153,-5453.71541,-5.11637,0.02470,-5.04568,-5.17488,29.87229,0.52169,30.78008,28.98344,-148.78029,2.06701,-143.93037,-153.95189,25552.85280,498.26471,26615.49414,24540.09766,417114.79031,38003.36912,544259.00000,327570.21875,429737.59969,35800.64204,533899.25000,345627.65625,0.04370,0.00817,0.06799,0.02279,20749808.82000,5735443.41755,36266132.00000,8426342.00000,20501000.97500,4885855.12444,36961100.00000,7887824.00000,1.32915,0.03982,1.43360,1.23269,1.54765,0.04135,1.64317,1.44509,2.00000,0.00000,2.00000,2.00000,-11.22664,4.43289,-6.09355,-20.00000,49.80402,0.54319,50.99636,48.53186,18.69868,0.39136,19.63236,17.71325,78.11263,11.36048,102.52322,65.13507,-2.26290,2.24240,2.54676,-10.27735,1.40246,0.21580,1.98498,0.81821,54.86935,5.17965,73.58040,46.04775,900.27313,310.15692,1534.09338,339.51465,-922.71959,417.06399,-296.36087,-1836.03784
57,3.8418939113616943,13600,-5465.90510,-1136.46770,-5.58336,0.00159,3.83896,0.00127,-5512.44261,-5.10798,0.02366,-5.04190,-5.16671,31.73218,0.55187,32.69234,30.78941,-151.10708,1.80766,-145.58669,-155.79591,27132.64437,493.60813,28153.75391,26083.31836,495739.96531,47559.31096,623141.62500,373896.90625,515286.10266,50733.96912,686570.81250,382255.15625,0.04799,0.01094,0.08052,0.02089,23251383.09500,6365504.19400,40628152.00000,10840329.00000,24453808.23500,6867703.51465,60683136.00000,10842441.00000,1.32452,0.03563,1.39783,1.22081,1.55135,0.03846,1.65963,1.46415,2.00000,0.00000,2.00000,2.00000,-11.43839,4.35847,-6.28491,-20.00000,49.71217,0.48969,50.83710,47.92860,18.74936,0.35268,19.72022,17.82783,78.20296,11.47033,102.20328,65.11549,-2.16709,2.50034,2.27626,-11.42598,1.39426,0.20213,1.82706,0.76449,55.24694,5.10887,70.71394,46.06698,923.76250,286.30490,1534.09338,352.79767,-930.93936,389.45958,-266.20511,-1836.03784
58,3.8569374084472656,13800,-5472.74584,-1122.06983,-5.61938,0.00162,3.85417,0.00110,-5499.85743,-5.10757,0.02541,-5.03105,-5.17576,33.69825,0.58358,34.71389,32.70220,-153.11293,2.09306,-147.27286,-159.03349,28799.67132,541.06317,30017.19336,27668.48828,577913.09000,62947.50141,901103.62500,457821.34375,601725.12516,62281.12924,768741.93750,458975.31250,0.05025,0.01079,0.08787,0.02361,27570259.69500,8781994.72929,71906288.00000,12668025.00000,28434769.17500,7583102.26002,53809248.00000,9098483.00000,1.31318,0.03968,1.40933,1.18783,1.56279,0.04132,1.68260,1.47294,2.00000,0.00000,2.00000,2.00000,-11.46753,4.28333,-5.96239,-20.00000,49.53506,0.54799,51.20127,47.92649,18.85833,0.38209,19.83377,17.79892,79.20655,11.74082,102.17810,65.14661,-2.08027,2.12345,2.81418,-8.91602,1.39544,0.20496,1.93414,0.72077,54.81729,4.80756,69.23897,46.34438,918.46920,291.64222,1534.09338,402.21973,-942.57250,405.62525,-320.32196,-1836.03784
59,4.017829656600952,14000,-5477.71787,-913.72337,-4.68178,0.00170,4.01476,0.00131,-5448.62335,-5.10837,0.02370,-5.04866,-5.18937,35.78350,0.62033,36.86228,34.72435,-155.84049,1.83881,-150.75969,-161.63000,30624.00149,561.93559,31619.31641,29603.39453,636664.58641,56945.57493,811990.00000,503546.81250,679002.07797,71128.86055,934340.93750,514670.40625,0.05324,0.01179,0.10087,0.02095,28153824.67000,7738587.22948,51806444.00000,13327554.00000,31466647.22000,9488953.16512,67489480.00000,11258491.00000,1.31499,0.03775,1.42283,1.22957,1.56045,0.04139,1.67210,1.42102,2.00000,0.00000,2.00000,2.00000,-11.56197,4.59547,-5.70748,-20.00000,49.56719,0.49214,51.03616,48.28303,18.82782,0.34555,19.90562,18.02748,77.94717,11.19513,101.87899,65.20079,-2.03404,2.20051,1.98974,-9.06943,1.39367,0.21118,1.94148,0.74098,54.58248,4.96076,68.86295,45.69397,884.38994,278.25818,1534.09338,359.69614,-889.85357,379.16069,-321.43112,-1836.03784
60,3.998952865600586,14200,-5477.79152,-1060.35233,-5.56169,0.00201,3.99556,0.00131,-5514.93586,-5.09907,0.02454,-5.03632,-5.15490,37.99255,0.65550,39.13316,36.87332,-157.70057,2.00813,-152.19995,-163.34479,32478.75771,582.17888,33783.44922,31358.21875,742725.33219,70171.72335,998312.18750,584630.43750,772796.55875,71103.18647,952915.18750,599006.43750,0.05503,0.01284,0.09434,0.02723,33832763.02000,8693026.43658,55719072.00000,13929488.00000,35098676.52500,9121773.41571,64450808.00000,15688352.00000,1.30838,0.04147,1.42044,1.19985,1.56227,0.04245,1.69089,1.44172,2.00000,0.00000,2.00000,2.00000,-10.85079,4.30776,-6.08961,-20.00000,49.36098,0.53089,50.74191,48.12008,18.91783,0.36399,19.77557,17.92133,77.69836,11.06408,102.20719,65.31975,-2.00115,1.91694,1.77398,-8.77540,1.38891,0.20634,1.88852,0.65105,54.00668,4.91802,71.64712,45.41298,855.11398,286.35694,1534.09338,368.30219,-853.19524,386.60507,-324.47171,-1836.03784
61,3.799196481704712,14400,-5486.42724,-984.46334,-5.59898,0.00180,3.79602,0.00130,-5541.96822,-5.09814,0.02454,-5.02031,-5.16162,40.32991,0.69502,41.54018,39.14482,-159.92810,2.29932,-153.07608,-166.91068,34462.45807,625.91446,35948.49609,33248.67578,834454.06781,74844.27981,1049476.87500,615053.43750,850416.24125,76582.24711,1040739.68750,666037.81250,0.06072,0.01337,0.12737,0.02946,39764360.36000,10967985.78690,72165888.00000,16800362.00000,38545957.70000,10793605.85460,78700168.00000,13450553.00000,1.29893,0.04056,1.40348,1.19682,1.57206,0.04171,1.68343,1.43182,2.00000,0.00000,2.00000,2.00000,-11.12785,4.50613,-6.39490,-20.00000,49.26287,0.57726,50.86378,47.62616,18.98872,0.40491,19.90630,17.97026,78.53953,11.54320,102.57703,65.12405,-2.30602,2.11497,3.00443,-8.52612,1.37240,0.22837,1.83771,0.71842,54.65601,5.66448,73.04007,44.21085,899.39664,309.08088,1534.09338,323.10300,-923.77830,418.84545,-225.22333,-1836.03784
62,3.614190101623535,14600,-5493.42956,-892.52934,-3.83906,0.00173,3.61108,0.00131,-5543.51356,-5.09735,0.02309,-5.03528,-5.15344,42.81491,0.74019,44.10334,41.55258,-162.89025,2.22141,-155.43102,-168.11214,36644.24686,664.14435,38010.42578,35234.55469,928612.29844,71927.52288,1153102.50000,775798.43750,960875.81500,78478.35318,1175122.62500,761972.68750,0.06430,0.01353,0.09913,0.02730,40457208.47000,9980505.60553,72609472.00000,17097176.00000,40162003.30000,10580721.10469,66567080.00000,17602304.00000,1.30926,0.04058,1.42791,1.17341,1.56231,0.04240,1.68075,1.43825,2.00000,0.00000,2.00000,2.00000,-11.66359,4.66255,-6.28491,-20.00000,49.36298,0.55833,50.77043,47.29656,18.89796,0.37445,20.29138,18.06057,78.61601,11.72492,102.06869,65.12364,-2.14733,2.18369,2.42623,-13.51995,1.38869,0.21184,1.87130,0.66505,53.63799,4.46224,68.72408,44.24836,874.97720,256.95061,1534.09338,275.73672,-869.61212,359.14864,-231.41579,-1836.03784
63,3.620920181274414,14800,-5499.07003,-1023.63964,-5.59547,0.00156,3.61798,0.00131,-5480.62246,-5.10266,0.02206,-5.03991,-5.15889,45.45689,0.78644,46.82519,44.11647,-165.50477,2.18086,-160.39102,-171.28165,38949.95105,727.57975,40433.77734,37358.92188,1020534.75562,94860.23347,1304347.00000,743135.18750,1069658.47250,105372.02641,1399399.25000,804440.37500,0.06960,0.01441,0.10532,0.03868,45429575.61000,12733205.31452,87955216.00000,20947946.00000,49939071.92000,14928820.53381,94290328.00000,16987492.00000,1.30401,0.03649,1.39626,1.20619,1.56797,0.03870,1.70787,1.46649,2.00000,0.00000,2.00000,2.00000,-11.43349,4.48564,-5.73932,-20.00000,49.36762,0.53052,50.86749,47.86523,18.93306,0.37112,19.88968,17.84274,77.95305,10.86336,102.23836,65.14297,-2.29428,2.21023,2.67855,-12.04377,1.38989,0.20771,1.86306,0.69118,53.60613,4.62860,68.72196,45.91490,853.38654,275.40379,1534.09338,343.44867,-862.01770,377.79781,-265.70251,-1836.03784
64,3.949364423751831,15000,-5490.80750,-1001.07625,-5.59886,0.00141,3.94673,0.00117,-5421.41969,-5.09968,0.02407,-5.01627,-5.15674,48.25989,0.83213,49.70890,46.83920,-167.58632,2.04428,-160.94791,-172.99686,41309.89135,763.40028,42740.43359,39830.68359,1174597.70625,104320.72337,1528182.00000,923784.81250,1235833.87156,123231.59612,1595945.00000,952796.43750,0.07269,0.01670,0.13275,0.03574,51303436.74000,13106981.78724,102733400.00000,24381178.00000,56306840.05000,15569550.29441,104403376.00000,22337560.00000,1.30240,0.03611,1.39824,1.18410,1.56585,0.03836,1.68129,1.44113,2.00000,0.00000,2.00000,2.00000,-10.82837,4.17233,-5.88855,-20.00000,49.23525,0.49444,50.44467,47.70566,19.00409,0.35103,20.04647,18.08946,77.55383,11.07382,102.42345,65.18245,-2.50885,2.02953,2.53830,-11.68040,1.35012,0.20875,1.76031,0.75051,54.59582,5.31562,78.84590,45.82010,914.18120,315.77996,1534.09338,343.44867,-955.58556,423.29205,-313.34778,-1836.03784
65,3.856466054916382,15200,-5493.49647,-1087.07205,-5.60158,0.00147,3.85383,0.00110,-5517.86608,-5.10146,0.02587,-5.02940,-5.17820,51.23764,0.88719,52.78112,49.72373,-170.72465,2.09196,-164.46089,-175.44048,43926.96334,766.62727,45302.82812,42365.95703,1317865.74313,114178.53480,1792865.00000,1063234.87500,1374461.92219,121685.85401,1683128.87500,1028559.18750,0.07746,0.01763,0.12109,0.03266,60835209.42000,19401931.81740,137321408.00000,19771020.00000,61016792.74000,14711321.65250,104505128.00000,26251846.00000,1.30989,0.03874,1.39725,1.17476,1.56263,0.04082,1.69625,1.45957,2.00000,0.00000,2.00000,2.00000,-11.70918,4.59181,-5.88855,-20.00000,49.37512,0.51586,50.72800,47.85533,18.88981,0.37601,19.96585,17.83178,78.41399,10.80916,102.42853,65.18383,-2.05245,2.27578,2.91508,-10.15872,1.35618,0.21229,1.97698,0.64068,54.61993,5.72970,79.02018,45.09502,903.86492,306.61858,1534.09338,339.51465,-930.41380,398.19468,-264.96130,-1836.03784
66,3.5169143676757812,15400,-5489.06948,-947.56244,-4.10062,0.00132,3.51445,0.00110,-5409.44549,-5.10726,0.02235,-5.04630,-5.16077,54.40372,0.94227,56.04404,52.79682,-173.37742,2.13680,-166.96431,-180.21709,46729.44779,848.83165,48523.68750,44973.89844,1522188.34500,196836.25666,2572106.25000,1158827.62500,1527681.98875,142132.06917,1884560.37500,1232079.00000,0.07977,0.01712,0.12768,0.03857,69794114.50000,23186342.10402,170914544.00000,31434406.00000,65546755.66000,17244770.63197,115980600.00000,29701394.00000,1.30837,0.03712,1.40752,1.20952,1.56172,0.04033,1.66701,1.44097,2.00000,0.00000,2.00000,2.00000,-11.34125,4.67163,-6.13798,-20.00000,49.38793,0.50032,50.93893,47.84111,18.95018,0.33660,19.84666,18.04690,78.61150,11.74613,102.74070,65.05524,-2.01172,1.87349,1.53266,-7.78044,1.36840,0.21808,1.92937,0.90096,54.99947,5.75111,77.27852,44.12708,908.10338,284.06451,1534.09338,289.02054,-939.06071,385.05664,-189.66049,-1836.03784
67,3.998077392578125,15600,-5484.39641,-1109.71818,-5.63133,0.00125,3.99543,0.00133,-5465.71200,-5.10995,0.02347,-5.04693,-5.19202,57.76585,0.99988,59.50728,56.06080,-175.91575,2.18333,-169.94482,-181.62451,49598.04045,902.63140,51540.89453,47709.37500,1632987.94500,142812.55880,1971906.37500,1130358.37500,1721565.01438,159509.70660,2154862.75000,1264716.87500,0.08655,0.02031,0.16299,0.03583,69165692.15000,20874783.61410,127266384.00000,25182090.00000,76912400.52000,21013922.76527,147043440.00000,28746408.00000,1.30729,0.03822,1.39869,1.20521,1.56324,0.04030,1.67348,1.46095,2.00000,0.00000,2.00000,2.00000,-11.24678,4.51531,-6.52657,-20.00000,49.37207,0.48598,50.52147,47.88122,18.93931,0.38009,20.08885,17.91202,77.58129,11.24582,102.54703,65.17561,-2.18122,2.46742,2.64951,-12.92261,1.36454,0.20472,1.85172,0.71282,54.58081,5.37262,69.27039,45.55419,910.75164,315.15434,1534.09338,322.44174,-946.93800,435.76468,-285.36755,-1836.03784
68,3.926196336746216,15800,-5484.17854,-1094.22611,-5.59988,0.00178,3.92305,0.00130,-5497.67868,-5.10203,0.02313,-5.03881,-5.18264,61.33055,1.05755,63.17043,59.52516,-177.65032,2.07393,-172.27362,-182.94225,52583.44541,943.87860,54422.72656,50709.85156,1892255.10938,165070.07691,2260045.50000,1451219.62500,1945161.78375,173117.15564,2484004.75000,1505975.62500,0.09288,0.01951,0.15363,0.03791,80701735.60000,22768169.43003,162128752.00000,40742332.00000,79821677.70000,20908999.27476,147467136.00000,37563972.00000,1.29824,0.03576,1.43996,1.20993,1.57107,0.03949,1.65262,1.42063,2.00000,0.00000,2.00000,2.00000,-11.08235,4.62104,-6.13798,-20.00000,49.16279,0.47951,50.68776,47.87004,19.01427,0.33649,20.08164,17.98949,78.03746,11.97571,102.70137,65.19466,-2.24237,2.39399,2.50693,-13.63172,1.32624,0.22786,1.87415,0.43211,54.11995,5.00989,73.32592,44.84682,906.34919,302.87016,1534.09338,310.19980,-925.69410,403.03561,-256.98633,-1836.03784
69,3.956261157989502,16000,-5493.05576,-1065.53343,-5.58263,0.00165,3.95323,0.00133,-5537.39559,-5.10154,0.02360,-5.05255,-5.16440,65.11041,1.12603,67.07072,63.18926,-180.74522,2.19916,-174.83443,-188.41414,55945.27078,1030.35156,58172.94922,53995.43359,2128452.29375,210040.49837,2866236.50000,1647017.87500,2205951.45187,223956.42818,2989827.25000,1552666.62500,0.09733,0.02123,0.18570,0.04768,88985725.54000,24324339.26077,167143264.00000,44929288.00000,92821841.26000,27060927.66416,166740848.00000,38037956.00000,1.30084,0.03723,1.44048,1.20220,1.56835,0.03999,1.66892,1.43627,2.00000,0.00000,2.00000,2.00000,-10.55910,4.26291,-5.77894,-20.00000,49.28572,0.49813,50.94014,47.87394,18.98453,0.34526,20.03241,17.62153,76.47941,11.06863,102.57375,65.12366,-2.16572,2.06582,2.28931,-9.91293,1.36221,0.21639,1.89346,0.67120,54.07287,5.04850,74.79011,45.94337,890.57914,270.78206,1534.09338,343.44867,-910.00468,373.14400,-312.11511,-1836.03784
70,3.8326332569122314,16200,-5490.87962,-887.89775,-5.27117,0.00206,3.82918,0.00133,-5493.17442,-5.10242,0.02513,-5.00840,-5.16412,69.13171,1.19621,71.21329,67.09081,-183.33951,2.36140,-177.05399,-188.43298,59389.56174,1047.51515,61526.37500,57291.85156,2353193.47063,193067.51267,3117015.25000,1935443.25000,2452104.86063,216573.14152,3190101.25000,1805196.37500,0.10286,0.02375,0.19770,0.04350,98749855.42000,24576748.90113,193150448.00000,47873800.00000,100326025.36000,27081014.35860,193642736.00000,42716340.00000,1.30468,0.03831,1.38559,1.21360,1.56541,0.03921,1.66873,1.47416,2.00000,0.00000,2.00000,2.00000,-11.22297,4.47032,-6.13403,-20.00000,49.28583,0.53647,50.51353,47.91516,18.96498,0.39223,20.38626,17.99568,77.46269,12.06217,102.25099,65.13095,-1.93999,1.90997,1.54361,-9.02106,1.36722,0.23624,1.96794,0.77047,54.14035,5.14641,70.98031,45.03546,871.86236,309.82874,1534.09338,305.59250,-899.58604,413.49877,-210.69994,-1836.03784
71,3.8574206829071045,16400,-5489.55948,-1013.56495,-5.59281,0.00175,3.85449,0.00113,-5528.76682,-5.10404,0.02356,-5.04270,-5.17676,73.40339,1.27213,75.61671,71.23454,-186.17421,2.40425,-177.57788,-192.87271,63087.26018,1127.26954,65260.05078,60783.13281,2674228.30687,255228.18591,3466772.00000,2070133.62500,2763631.77875,243559.75839,3575398.50000,2164418.25000,0.10864,0.02309,0.20677,0.05467,112753944.88000,32438943.82984,218850848.00000,37765164.00000,113596875.48000,29252378.75452,212826800.00000,51628564.00000,1.30582,0.03855,1.41068,1.18247,1.56544,0.04173,1.67244,1.44407,2.00000,0.00000,2.00000,2.00000,-11.17101,4.47471,-5.96239,-20.00000,49.34141,0.52570,50.78660,47.62071,18.92487,0.36489,20.04247,17.96436,77.61244,11.45230,102.55811,65.13902,-2.25647,2.09956,2.23804,-11.55231,1.35221,0.23047,1.89943,0.58059,53.85082,5.00700,72.20676,44.86837,848.30923,270.74786,1534.09338,361.71707,-867.45121,376.51181,-312.11511,-1836.03784
72,3.7220170497894287,16600,-5484.03857,-993.35937,-5.60151,0.00158,3.71903,0.00134,-5488.30451,-5.10646,0.02200,-5.04641,-5.17113,77.94310,1.35100,80.29745,75.63943,-188.95272,2.38473,-182.23418,-195.92154,67284.38881,1262.91192,70092.43750,64728.28906,3021099.01875,282067.55418,3909763.75000,2393863.25000,3136172.23000,293435.08316,4303804.00000,2546306.50000,0.11707,0.02201,0.18050,0.05718,123439112.26000,29785639.21977,240773504.00000,55834516.00000,122633347.06000,31909697.09273,201967712.00000,51030948.00000,1.30966,0.03711,1.39871,1.18794,1.56264,0.04346,1.72130,1.46576,2.00000,0.00000,2.00000,2.00000,-11.44959,4.86831,-5.96239,-20.00000,49.38189,0.48658,50.99340,48.01483,18.92472,0.34066,19.72635,17.96754,80.77812,16.57820,130.52443,65.13383,-2.06098,1.88825,2.75788,-8.94617,1.60625,0.25600,2.31143,0.83892,56.35627,5.41891,75.18991,46.79107,976.51446,282.02838,1534.09338,344.09018,-967.40052,353.03717,-264.96130,-1836.03784
73,3.863645076751709,16800,-5477.47059,-1081.66239,-5.64412,0.00145,3.86080,0.00132,-5414.94265,-5.10955,0.02462,-5.03635,-5.18323,82.77484,1.43733,85.27615,80.32166,-191.92598,2.40897,-185.76544,-198.07642,71511.23941,1283.52962,74294.10156,68783.66406,3308227.67250,281254.73477,4161603.75000,2690720.00000,3462527.52375,287755.10271,4341821.50000,2679356.00000,0.12592,0.02658,0.24464,0.06075,133780878.40000,33840723.92715,246601504.00000,58790488.00000,140676462.56000,36534563.29803,264264160.00000,71343040.00000,1.31251,0.03894,1.42964,1.20485,1.55878,0.04171,1.67857,1.42686,2.00000,0.00000,2.00000,2.00000,-10.97764,4.52870,-6.28491,-20.00000,49.46473,0.51890,50.66866,48.25764,18.90940,0.38354,19.91842,17.86906,78.29592,14.11528,130.58914,65.11688,-2.34959,2.12390,2.53526,-10.84149,1.60898,0.24700,2.20239,0.83588,56.15424,5.19506,79.10298,46.15546,977.62246,302.62092,1534.09338,342.93387,-978.18439,366.11231,-297.69498,-1836.03784
74,3.8235747814178467,17000,-5483.97565,-1069.19905,-5.60000,0.00168,3.82074,0.00111,-5486.47028,-5.10909,0.02565,-5.05039,-5.18264,87.90909,1.52900,90.57355,85.30180,-195.05241,2.56946,-188.64560,-201.95995,76026.14000,1447.19403,79146.54688,72719.32031,3741572.86750,325705.74458,4585709.50000,2955613.25000,3922108.93625,373644.14973,5179734.50000,3083763.25000,0.13040,0.02999,0.24239,0.06401,149946574.60000,38972233.71236,287567456.00000,68422736.00000,164312071.16000,44862574.27443,298004000.00000,72137640.00000,1.32092,0.03864,1.44386,1.22841,1.55074,0.04348,1.69216,1.40613,2.00000,0.00000,2.00000,2.00000,-10.56786,4.19738,-6.15318,-20.00000,49.57857,0.52613,51.26760,48.27412,18.83234,0.35520,19.63358,17.74711,78.98986,14.76929,130.84927,65.03748,-2.32166,2.03530,1.73220,-10.17271,1.61992,0.24809,2.21894,0.92107,56.72692,5.57161,74.32845,45.82627,996.85716,289.29474,1534.09338,296.09940,-1005.93717,371.29656,-200.37965,-1836.03784
75,3.755154848098755,17200,-5480.38479,-1067.56663,-5.60452,0.00137,3.75172,0.00199,-5481.95751,-5.10333,0.02268,-5.05226,-5.17298,93.36030,1.61543,96.17104,90.60080,-196.75043,2.27504,-190.59038,-203.62706,80520.91484,1413.48431,83487.49219,77755.18750,4506152.74625,466695.59143,5937337.50000,3470904.00000,4753162.14875,475759.38411,6046227.50000,3381489.75000,0.13804,0.03261,0.27207,0.05485,180641379.16000,53014685.64650,378520512.00000,82797208.00000,190657627.44000,55142273.57802,379530592.00000,82325400.00000,1.30994,0.03879,1.44365,1.19902,1.56313,0.04521,1.68941,1.40777,2.00000,0.00000,2.00000,2.00000,-11.70806,4.99966,-5.96679,-20.00000,49.37529,0.48605,51.05043,47.91046,18.93736,0.37994,19.90014,17.76023,81.93746,18.25998,130.65524,65.19343,-2.43092,2.30370,1.51839,-9.82187,1.58847,0.24669,2.12806,1.06030,56.19240,5.34007,74.25176,45.06334,990.74910,294.56596,1534.09338,364.03467,-1008.16817,365.88363,-298.87085,-1836.03784
76,3.8708791732788086,17400,-5490.07311,-1080.33135,-5.58759,0.00151,3.86795,0.00130,-5506.32866,-5.10584,0.02246,-5.04564,-5.17113,99.13232,1.71994,102.12478,96.19988,-199.67629,2.76054,-192.36925,-207.06131,85563.87719,1570.00284,88480.87500,82280.21094,4929404.46125,435407.50239,6701245.50000,4035872.00000,5152512.60000,453476.15372,6412631.50000,4217526.50000,0.14964,0.03120,0.24018,0.08206,202367620.44000,52811553.77742,387467968.00000,92435600.00000,206760925.60000,49805111.67301,381978336.00000,101975664.00000,1.31229,0.04128,1.40102,1.19793,1.56175,0.04525,1.70803,1.45200,2.00000,0.00000,2.00000,2.00000,-11.69316,4.84105,-5.91529,-20.00000,49.44557,0.57375,50.84845,48.04679,18.90074,0.41302,20.19343,17.74568,81.22188,18.63165,130.83638,65.11461,-2.34324,2.38666,2.06589,-12.09942,1.59836,0.24030,2.20873,0.71438,56.14439,5.75331,83.90829,46.22025,966.30972,293.09814,1534.09338,344.09018,-970.84650,378.61590,-271.85596,-1836.03784
