102.85849,96.75127,-306.86282,60.495193,-1.8795421,36.049538,180.87733,346.34616,266.19714,44.343315,-89.31432,-140.91965,-213.9926,-151.9009,109.90616,57.2262
102.81399,96.79577,-306.90732,60.53968,-1.9240327,36.094032,180.9218,346.3907,266.2416,44.29883,-89.26983,-140.9641,-214.03706,-151.85645,109.86166,57.1817
102.47737,97.131935,-307.23276,60.873497,-2.2576966,36.4295,181.2578,346.72162,266.56613,43.963474,-88.933426,-141.30267,-214.37262,-151.51993,109.52445,56.843605
102.22794,97.3782,-307.441,61.111748,-2.4924302,36.6768,181.50606,346.95514,266.75912,43.719643,-88.68098,-141.56512,-214.62033,-151.26688,109.27454,56.593
101.99651,97.60651,-307.62418,61.33296,-2.70701,36.905216,181.73749,347.16946,266.9219,43.491516,-88.44669,-141.81178,-214.85115,-151.0303,109.0418,56.35985
101.782715,97.82189,-307.825,61.548916,-2.9206781,37.11575,181.95276,347.37793,267.13022,43.273224,-88.2342,-142.02777,-215.06563,-150.81589,108.82542,56.141895
101.59133,98.019615,-308.0426,61.75437,-3.1295896,37.30407,182.14635,347.57587,267.38193,43.070633,-88.04855,-142.20718,-215.2583,-150.6294,108.6306,55.94394
101.3887,98.233345,-308.3007,61.981808,-3.3649995,37.50411,182.35257,347.79733,267.68387,42.850792,-87.85561,-142.38403,-215.46346,-150.43661,108.423584,55.731445
101.18244,98.45418,-308.56985,62.21813,-3.6134543,37.70724,182.56223,348.02805,267.99716,42.624973,-87.66239,-142.54967,-215.67169,-150.24542,108.21263,55.514442
100.98584,98.66531,-308.82877,62.44515,-3.853911,37.900826,182.76141,348.24997,268.28967,42.41005,-87.4799,-142.69498,-215.86896,-150.06789,108.01176,55.307674
100.80368,98.861725,-309.06586,62.654827,-4.076723,38.080227,182.945,348.4565,268.55182,42.212093,-87.31142,-142.82089,-216.05255,-149.90527,107.8265,55.116257
100.61183,99.06717,-309.30878,62.873158,-4.308697,38.269997,183.13837,348.67404,268.81638,42.00582,-87.13316,-142.948,-216.24393,-149.73608,107.632416,54.9149
100.41613,99.27567,-309.55206,63.09382,-4.5435,38.464664,183.33563,348.9006,269.07843,41.797337,-86.94995,-143.0704,-216.43811,-149.56348,107.435814,54.70916
100.22291,99.4827,-309.7913,63.311836,-4.7753787,38.659245,183.53113,349.12756,269.3345,41.591507,-86.767105,-143.18365,-216.63133,-149.39172,107.241264,54.504436
100.029686,99.688286,-310.03052,63.528423,-5.005541,38.854633,183.72435,349.35452,269.586,41.387146,-86.583084,-143.28783,-216.82455,-149.21997,107.04804,54.299713
99.836464,99.893776,-310.26974,63.744095,-5.234284,39.05051,183.91757,349.58148,269.8349,41.183956,-86.39906,-143.38066,-217.01778,-149.04822,106.85586,54.09499
99.64036,100.10233,-310.51254,63.962025,-5.4652047,39.24959,184.11368,349.81183,270.08392,40.9789,-86.21277,-143.46086,-217.21388,-148.87512,106.66131,53.88721
99.44394,100.31191,-310.75653,64.18089,-5.697075,39.449005,184.31075,350.0433,270.33417,40.773754,-86.027176,-143.51924,-217.41045,-148.7042,106.467316,53.678707
99.26274,100.50616,-310.98267,64.383835,-5.912415,39.63316,184.49072,350.25784,270.5661,40.584373,-85.85704,-143.54439,-217.5902,-148.54936,106.28878,53.485912
99.076294,100.707054,-311.21823,64.59425,-6.1360536,39.822994,184.6771,350.48218,270.80658,40.38843,-85.683266,-143.5324,-217.77657,-148.39346,106.10518,53.286713
98.88433,100.91578,-311.4697,64.814285,-6.370743,40.018852,184.86832,350.72107,271.06094,40.184994,-85.50712,-143.45549,-217.96815,-148.23984,105.91656,53.080204
98.70817,101.10975,-311.7053,65.02043,-6.5912824,40.199017,185.04367,350.94467,271.30243,39.995964,-85.3487,-143.30724,-218.14384,-148.10756,105.74393,52.88927
98.52115,101.31887,-311.96286,65.244484,-6.832263,40.390987,185.2297,351.18292,271.56644,39.791992,-85.18523,-143.05933,-218.33044,-147.98015,105.56116,52.684586
98.35869,101.50419,-312.1948,65.44598,-7.0489616,40.558735,185.39145,351.39746,271.80417,39.610893,-85.04848,-142.77841,-218.49284,-147.88493,105.40298,52.504356
98.187416,101.70459,-312.45523,65.66613,-7.287146,40.73709,185.5623,351.63345,272.06567,39.414394,-84.91234,-142.43597,-218.66461,-147.80788,105.23681,52.3108
98.03578,101.88734,-312.69797,65.870384,-7.5081706,40.896782,185.71375,351.8525,272.3084,39.23407,-84.80127,-142.10901,-218.81711,-147.76903,105.090454,52.135082
97.87659,102.086876,-312.96823,66.0978,-7.7538223,41.067028,185.87357,352.0964,272.57867,39.03583,-84.699066,-141.74841,-218.97813,-147.7737,104.93786,51.94415
97.75389,102.248,-313.19095,66.28437,-7.9554987,41.20091,185.9976,352.2974,272.8014,38.87463,-84.635284,-141.45815,-219.10323,-147.82411,104.821365,51.790485
97.625374,102.42661,-313.44244,66.49446,-8.182585,41.34467,186.12846,352.52435,273.0529,38.69475,-84.59055,-141.13893,-219.23557,-147.94095,104.70091,51.620937
97.51016,102.59976,-313.6893,66.70246,-8.406571,41.478333,186.24728,352.7464,273.30188,38.519062,-84.58212,-140.83165,-219.35576,-148.12238,104.59508,51.457508
97.407875,102.771835,-313.93588,66.91248,-8.633243,41.603928,186.35475,352.96832,273.55463,38.343185,-84.61998,-140.52698,-219.46492,-148.3663,104.50413,51.296307
97.32317,102.940544,-314.1837,67.123116,-8.860396,41.71803,186.44641,353.19135,273.803,38.16924,-84.715836,-140.22745,-219.55872,-148.65398,104.43347,51.13972
