EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,jump_eval_rewards,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,Alpha_Mean,Alpha_Std,Alpha_Max,Alpha_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_state_norm_Mean,Training/pf_state_norm_Std,Training/pf_state_norm_Max,Training/pf_state_norm_Min,Training/pf_task_norm_Mean,Training/pf_task_norm_Std,Training/pf_task_norm_Max,Training/pf_task_norm_Min,Training/pf_action_norm_Mean,Training/pf_action_norm_Std,Training/pf_action_norm_Max,Training/pf_action_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
10,2.9230921268463135,4200,-4742.84884,-1136.99126,-7.61274,0.00192,2.91990,0.00123,-5237.99501,-5.22324,0.04540,-5.10372,-5.36060,0.53867,0.00894,0.55423,0.52343,-7.56541,0.17340,-7.22456,-7.85904,11.43264,1.13728,13.82198,8.60069,2.71335,0.54668,4.36064,1.74898,4.31514,1.08409,7.09389,2.61470,1.29265,0.19054,1.92247,0.87680,0.01030,0.00499,0.02812,0.00344,0.84936,0.14932,1.34440,0.53305,287.69559,83.74362,484.10989,102.93901,390.45742,114.46325,639.97150,183.36942,-0.28954,0.01322,-0.26168,-0.32165,0.06021,0.00331,0.06890,0.05305,-0.15930,0.01781,-0.11701,-0.19475,-0.60204,0.03750,-0.50644,-0.70816,-4.23338,0.10222,-3.99811,-4.47153,1.50421,0.05948,1.66096,1.37014,1.49954,0.72247,3.69404,-0.32675,-10.03831,0.95942,-8.47092,-14.04706,-0.00207,0.02161,0.04425,-0.06176,0.44030,0.01489,0.47178,0.40458,1.47889,0.10862,1.82759,1.22144,-1.36511,0.07801,-1.17350,-1.63767
11,2.431042432785034,4400,-4921.27729,-824.19253,-2.74498,0.00206,2.42777,0.00117,-5726.80399,-5.27644,0.04751,-5.13515,-5.39579,0.50864,0.00842,0.52328,0.49429,-8.15789,0.16479,-7.79574,-8.44546,14.21671,1.16337,16.87592,11.25130,2.75528,0.42683,4.17342,1.97644,4.42696,1.13912,7.37029,2.64929,1.41796,0.17961,2.15165,1.04398,0.00718,0.00278,0.01575,0.00218,0.80906,0.12795,1.19404,0.51191,311.74909,65.72108,535.80249,172.08305,398.60486,120.75942,659.20770,157.68327,-0.31080,0.01156,-0.28813,-0.33900,0.06291,0.00301,0.07196,0.05652,-0.17149,0.01203,-0.13278,-0.19705,-0.62630,0.02811,-0.55684,-0.71703,-4.07163,0.09256,-3.84760,-4.34865,1.58279,0.05716,1.74744,1.43326,1.93689,0.71030,4.28645,0.27617,-10.17358,1.01256,-8.28341,-15.17087,-0.00773,0.01944,0.04904,-0.05614,0.46326,0.01188,0.49152,0.43603,1.52219,0.08543,1.81234,1.35208,-1.40393,0.06577,-1.22771,-1.59515
12,3.2066681385040283,4600,-5201.83021,-1187.75914,-6.38463,0.00180,3.20343,0.00137,-6780.92979,-5.33281,0.04924,-5.19645,-5.48819,0.48035,0.00794,0.49415,0.46681,-8.75185,0.16560,-8.34826,-9.06719,16.63880,1.17335,19.10207,13.98610,3.35198,0.62175,5.73290,2.09085,5.20794,1.30112,12.20016,2.92364,1.64075,0.23089,2.45639,1.26002,0.00906,0.00332,0.02004,0.00282,0.87290,0.16882,1.56684,0.51916,341.23275,65.79127,546.45789,194.83493,423.73505,131.54592,826.10913,163.57057,-0.34082,0.01276,-0.31113,-0.36536,0.06568,0.00254,0.07450,0.05728,-0.18868,0.01353,-0.15571,-0.22244,-0.66028,0.03462,-0.58045,-0.74356,-3.93937,0.08994,-3.71236,-4.18538,1.62735,0.05175,1.75354,1.50857,2.01209,0.68892,4.47407,0.55903,-10.20643,0.89080,-8.47292,-13.15690,-0.02319,0.02306,0.04054,-0.06889,0.47451,0.01071,0.49853,0.44850,1.47960,0.10831,1.85439,1.24717,-1.50474,0.09032,-1.26374,-1.75871
13,3.25001859664917,4800,-5303.50567,-1248.49758,-6.67714,0.00173,3.24685,0.00138,-4881.71925,-5.35052,0.04852,-5.17849,-5.46230,0.45374,0.00741,0.46668,0.44114,-9.21498,0.10860,-8.96846,-9.47527,19.39503,1.12052,21.84633,16.57083,3.40102,0.48075,5.11549,2.50469,3.61209,1.00601,7.84483,2.32777,1.90729,0.23036,2.73724,1.39884,0.01115,0.00553,0.03639,0.00386,0.93525,0.15929,1.35929,0.55439,369.04297,68.97703,536.87134,186.55385,296.18090,114.26350,675.75024,74.56050,-0.38080,0.01975,-0.34903,-0.42213,0.07079,0.00407,0.08266,0.06234,-0.20973,0.02102,-0.15982,-0.26241,-0.70785,0.04821,-0.61497,-0.83007,-3.66603,0.15187,-3.28318,-3.93962,1.72882,0.06726,1.93159,1.58187,2.70978,0.84194,6.55361,1.09744,-10.38120,0.99340,-8.72131,-16.63667,-0.03283,0.02873,0.03380,-0.11368,0.50260,0.01571,0.53911,0.47077,1.55838,0.12867,1.92959,1.26775,-1.60076,0.09144,-1.38903,-1.88780
14,3.178441286087036,5000,-5525.76028,-1390.05941,-7.02400,0.00176,3.17514,0.00148,-4997.74599,-5.35601,0.04850,-5.20331,-5.49429,0.42894,0.00696,0.44102,0.41707,-9.67233,0.16912,-9.27489,-9.99456,22.08222,1.27606,24.84826,19.66570,3.67362,0.54946,5.11191,2.44473,4.91327,1.61034,12.33284,2.65008,2.23823,0.22773,2.96988,1.69818,0.00995,0.00366,0.02203,0.00313,1.03124,0.18931,1.62438,0.57348,402.46115,86.63001,623.24890,207.43227,478.10874,198.89431,1174.51465,121.43142,-0.41235,0.01151,-0.38643,-0.44284,0.07169,0.00416,0.08109,0.06325,-0.23073,0.01938,-0.17544,-0.26044,-0.74378,0.03865,-0.64728,-0.83149,-3.43001,0.10191,-3.14142,-3.64184,1.82164,0.05025,1.94138,1.71382,3.40650,0.86161,6.37918,1.75539,-10.46961,0.98279,-8.72203,-13.51383,-0.04669,0.02505,0.04461,-0.10278,0.52640,0.01039,0.55206,0.50475,1.60725,0.11997,2.01642,1.35628,-1.63208,0.08731,-1.43351,-1.86802
15,3.262615203857422,5200,-5639.78399,-1128.59574,-5.65714,0.00168,3.25936,0.00150,-4966.97945,-5.30350,0.04893,-5.15094,-5.45144,0.40558,0.00653,0.41696,0.39447,-10.09451,0.11170,-9.83445,-10.40289,24.87758,1.28142,27.70944,21.45230,3.67376,0.53644,5.01137,2.53506,5.54072,1.51098,9.34273,2.86164,2.54731,0.27797,3.30255,1.96725,0.00881,0.00324,0.02365,0.00318,1.01453,0.16405,1.56899,0.66389,432.44923,90.00149,685.32483,252.89133,550.77732,167.05927,929.77960,211.06172,-0.44139,0.01311,-0.40576,-0.46546,0.07149,0.00272,0.07973,0.06488,-0.24973,0.01367,-0.20744,-0.28373,-0.78154,0.03545,-0.68296,-0.89349,-3.18964,0.12677,-2.90245,-3.49794,1.91387,0.05708,2.07621,1.75394,4.03944,0.99585,7.47328,2.15933,-10.60601,1.28199,-8.61484,-17.88393,-0.05839,0.01898,-0.01822,-0.12155,0.55031,0.01163,0.58176,0.52843,1.65652,0.13320,2.00591,1.35298,-1.65614,0.09056,-1.47515,-1.91257
16,3.3044352531433105,5400,-5735.61886,-1115.33169,-5.14272,0.00177,3.30138,0.00124,-5519.42299,-5.31062,0.04631,-5.18017,-5.43842,0.38374,0.00610,0.39436,0.37336,-10.41085,0.12164,-10.11882,-10.71038,27.54582,1.31343,30.50358,24.67109,3.86091,0.61387,5.66636,2.67519,5.76849,1.45706,9.78168,3.18796,2.83092,0.28701,3.84462,2.15977,0.01068,0.00361,0.02257,0.00477,1.06046,0.16278,1.50570,0.65330,453.62076,93.03644,677.85773,226.45996,562.34093,158.75554,908.71930,271.38287,-0.47596,0.01601,-0.43988,-0.51128,0.07026,0.00321,0.07776,0.06148,-0.27831,0.02012,-0.23737,-0.32436,-0.81106,0.03284,-0.72698,-0.88578,-2.87310,0.13930,-2.52615,-3.19478,1.99584,0.05797,2.16843,1.85035,4.50806,0.82359,7.31064,2.59858,-10.48878,1.13465,-8.49290,-17.23636,-0.05866,0.02394,-0.00495,-0.12491,0.57959,0.01165,0.60493,0.55634,1.68523,0.14102,2.02047,1.41820,-1.65290,0.07037,-1.47403,-1.83031
17,3.2502124309539795,5600,-5497.79089,-785.41759,-3.77593,0.00191,3.24673,0.00151,-5461.18703,-5.27270,0.04917,-5.11731,-5.41500,0.36329,0.00573,0.37326,0.35353,-10.73196,0.13499,-10.38120,-11.04283,30.47505,1.27434,33.29442,27.38815,3.85492,0.57853,5.91629,2.61329,5.75977,1.48202,9.92092,3.54329,3.09373,0.31218,4.07043,2.35136,0.01174,0.00450,0.02902,0.00398,1.09397,0.19637,1.74524,0.67183,471.77955,84.29583,725.01379,266.94876,562.36855,162.71739,952.63049,252.00276,-0.51096,0.01587,-0.48032,-0.55025,0.07396,0.00440,0.08423,0.06497,-0.29705,0.02004,-0.24126,-0.34824,-0.87480,0.05804,-0.77318,-1.03766,-2.60191,0.15017,-2.15834,-2.97983,2.06002,0.06061,2.24990,1.90442,4.85226,0.99322,7.99816,2.91052,-10.65529,1.14430,-8.30473,-14.78772,-0.05423,0.02609,0.00777,-0.11969,0.59983,0.01122,0.63164,0.57672,1.70155,0.15858,2.13875,1.50332,-1.69677,0.07970,-1.50929,-1.98239
18,3.2268881797790527,5800,-5315.29783,-1099.47851,-5.66659,0.00189,3.22341,0.00152,-4352.42755,-5.21683,0.04592,-5.06375,-5.35977,0.34407,0.00538,0.35344,0.33489,-11.01715,0.14756,-10.67711,-11.44351,33.37624,1.30786,36.23640,30.43444,3.87908,0.54239,5.22409,2.78396,5.90051,1.46948,9.31296,3.55734,3.29709,0.34885,4.48484,2.59446,0.01335,0.00537,0.03786,0.00393,1.16070,0.20418,1.79407,0.74497,485.78075,93.25091,689.57635,217.13237,563.68666,167.57579,891.28882,253.38029,-0.54567,0.01790,-0.51166,-0.58914,0.08050,0.00367,0.08993,0.07100,-0.30216,0.01722,-0.26637,-0.34992,-0.93779,0.04452,-0.81717,-1.07692,-2.32892,0.15245,-1.80176,-2.67729,2.13178,0.05842,2.28306,1.99665,5.55340,1.01320,9.84101,3.43945,-10.57329,1.24395,-8.33983,-16.21846,-0.05041,0.02457,0.01507,-0.11660,0.61803,0.01090,0.65814,0.59333,1.72033,0.13490,2.17206,1.51016,-1.75010,0.09730,-1.57002,-2.03843
19,3.2592244148254395,6000,-5295.57003,-829.08817,-2.53105,0.00174,3.25618,0.00125,-5030.48924,-5.20625,0.04664,-5.09155,-5.33463,0.32598,0.00507,0.33480,0.31735,-11.27253,0.15103,-10.85492,-11.59243,36.18437,1.30514,39.08950,32.77814,3.84329,0.62562,6.61866,2.72129,5.84635,1.50494,11.26155,3.56882,3.56349,0.36640,4.90774,2.90422,0.01464,0.00559,0.03678,0.00483,1.21134,0.21855,1.82883,0.72220,499.78796,99.85309,770.53766,231.07733,574.43912,174.65162,1030.14148,231.58823,-0.58293,0.01734,-0.53890,-0.62839,0.08276,0.00319,0.09141,0.07687,-0.33404,0.01841,-0.27410,-0.38600,-0.97608,0.04093,-0.87722,-1.09680,-2.05927,0.16060,-1.59837,-2.43739,2.19780,0.06101,2.33956,2.03492,6.02854,1.10865,10.78588,3.74185,-10.54267,1.32596,-8.24340,-16.26643,-0.05268,0.02635,0.01933,-0.12344,0.63293,0.01073,0.65643,0.60546,1.72645,0.12346,2.16279,1.53098,-1.80104,0.13773,-1.56859,-2.21598
