EPOCH,Time Consumed,Total Frames,Running_Average_Rewards,Train_Epoch_Reward,Running_Training_Average_Rewards,Explore_Time,Train___Time,Eval____Time,jump_eval_rewards,Reward_Mean_Mean,Reward_Mean_Std,Reward_Mean_Max,Reward_Mean_Min,Alpha_Mean,Alpha_Std,Alpha_Max,Alpha_Min,Alpha_loss_Mean,Alpha_loss_Std,Alpha_loss_Max,Alpha_loss_Min,Training/policy_loss_Mean,Training/policy_loss_Std,Training/policy_loss_Max,Training/policy_loss_Min,Training/qf1_loss_Mean,Training/qf1_loss_Std,Training/qf1_loss_Max,Training/qf1_loss_Min,Training/qf2_loss_Mean,Training/qf2_loss_Std,Training/qf2_loss_Max,Training/qf2_loss_Min,Training/pf_state_norm_Mean,Training/pf_state_norm_Std,Training/pf_state_norm_Max,Training/pf_state_norm_Min,Training/pf_task_norm_Mean,Training/pf_task_norm_Std,Training/pf_task_norm_Max,Training/pf_task_norm_Min,Training/pf_action_norm_Mean,Training/pf_action_norm_Std,Training/pf_action_norm_Max,Training/pf_action_norm_Min,Training/qf1_norm_Mean,Training/qf1_norm_Std,Training/qf1_norm_Max,Training/qf1_norm_Min,Training/qf2_norm_Mean,Training/qf2_norm_Std,Training/qf2_norm_Max,Training/qf2_norm_Min,log_std/mean_Mean,log_std/mean_Std,log_std/mean_Max,log_std/mean_Min,log_std/std_Mean,log_std/std_Std,log_std/std_Max,log_std/std_Min,log_std/max_Mean,log_std/max_Std,log_std/max_Max,log_std/max_Min,log_std/min_Mean,log_std/min_Std,log_std/min_Max,log_std/min_Min,log_probs/mean_Mean,log_probs/mean_Std,log_probs/mean_Max,log_probs/mean_Min,log_probs/std_Mean,log_probs/std_Std,log_probs/std_Max,log_probs/std_Min,log_probs/max_Mean,log_probs/max_Std,log_probs/max_Max,log_probs/max_Min,log_probs/min_Mean,log_probs/min_Std,log_probs/min_Max,log_probs/min_Min,mean/mean_Mean,mean/mean_Std,mean/mean_Max,mean/mean_Min,mean/std_Mean,mean/std_Std,mean/std_Max,mean/std_Min,mean/max_Mean,mean/max_Std,mean/max_Max,mean/max_Min,mean/min_Mean,mean/min_Std,mean/min_Max,mean/min_Min
71,2.6509780883789062,16400,-4955.48304,-1172.29621,-6.00695,0.00192,2.64779,0.00122,-5249.08537,-5.31290,0.03999,-5.19859,-5.46405,0.09558,0.00056,0.09668,0.09472,0.37012,0.45142,1.49583,-0.66269,86.47804,2.44334,91.42366,80.18084,44.16845,10.28460,69.73298,28.56600,35.14857,8.05534,56.58340,21.22539,29.82966,2.22983,37.64156,25.59604,0.05105,0.01545,0.12538,0.02389,6.29818,0.92264,9.56733,4.53577,4019.79587,1148.90895,6553.67480,1900.36304,3034.94911,905.65660,5182.90430,1236.57507,-1.68063,0.02056,-1.63065,-1.73308,0.43312,0.00417,0.44700,0.42134,0.25173,0.13070,0.74671,-0.01009,-2.89359,0.11141,-2.67643,-3.29955,8.15775,0.19247,8.63619,7.71702,3.04981,0.07237,3.27938,2.87966,20.83523,2.05044,30.59922,17.38785,-3.36737,1.46083,0.09737,-8.14477,-0.00912,0.02078,0.03988,-0.05288,0.98747,0.01085,1.02362,0.96145,3.69052,0.36537,5.19150,3.05211,-3.70980,0.25976,-3.11784,-4.49466
72,2.6599719524383545,16600,-4815.23110,-987.58235,-4.68351,0.00190,2.65680,0.00123,-3590.86052,-5.30393,0.04149,-5.21588,-5.41464,0.09802,0.00075,0.09975,0.09671,0.50483,0.49528,1.66679,-0.78542,84.74191,2.68423,90.76029,78.47210,46.07170,10.65742,73.55486,29.45833,33.95828,8.63853,54.52367,20.44717,30.62098,2.10711,37.43921,26.21987,0.05071,0.01525,0.12477,0.01823,6.39506,0.93984,8.94237,4.39723,4048.83872,1212.07509,6759.89355,1714.30188,2691.95332,1061.77560,4966.69971,696.40381,-1.67523,0.02358,-1.62129,-1.72146,0.43560,0.00509,0.44794,0.42334,0.25975,0.13733,0.66511,-0.02426,-2.91741,0.10740,-2.66704,-3.25288,8.21760,0.21367,8.72254,7.66271,3.10883,0.07443,3.27987,2.87642,21.88348,2.90285,32.82504,17.60896,-3.60134,1.36373,-0.89054,-7.45251,-0.00074,0.02487,0.06381,-0.05488,0.99728,0.01056,1.02578,0.97206,3.74929,0.36396,4.94890,3.18228,-3.75948,0.27020,-3.09631,-4.62794
73,2.689905881881714,16800,-5034.62155,-654.54940,-2.90680,0.00160,2.68678,0.00145,-6120.09005,-5.31879,0.03814,-5.20924,-5.42909,0.10289,0.00173,0.10585,0.09978,0.90761,0.56997,2.31447,-0.70401,82.51857,2.78142,89.41402,74.87089,48.10167,10.74683,75.47057,31.65819,26.38724,3.07827,36.65626,19.83210,32.31470,2.30973,40.57021,26.99238,0.05793,0.01576,0.11138,0.02632,6.85647,0.95498,9.76388,4.64563,4124.35375,1175.71455,6924.60010,1983.95728,1910.19132,428.81748,2976.02710,890.59369,-1.68272,0.03312,-1.58808,-1.75578,0.44526,0.00475,0.45787,0.43387,0.27798,0.13895,0.68069,-0.05563,-2.96064,0.11729,-2.74742,-3.38070,8.39882,0.25079,9.02198,7.68879,3.14715,0.07219,3.34714,2.95515,22.00064,2.39378,32.46103,18.54687,-3.67078,1.79246,-0.36795,-8.92546,0.00415,0.02169,0.06088,-0.05442,1.01025,0.01002,1.03600,0.97586,3.79856,0.38612,5.06061,3.16167,-3.78245,0.27553,-3.27389,-4.84504
74,2.8901100158691406,17000,-5162.42472,-914.84770,-3.97762,0.00197,2.88662,0.00146,-4540.05009,-5.33769,0.03947,-5.22165,-5.43114,0.10909,0.00179,0.11215,0.10587,0.93472,0.48977,2.59176,-0.22455,79.89135,2.81359,86.77052,73.94085,52.35151,11.52856,79.47755,32.88894,27.15537,3.42207,39.76615,20.99548,33.89111,2.69796,44.67741,27.65801,0.06230,0.01886,0.14884,0.03118,6.98665,0.96999,11.08649,4.47653,4227.52968,1251.68513,7076.90186,1612.41565,1972.44574,521.47297,3212.99268,802.76233,-1.67476,0.02731,-1.59442,-1.74682,0.44597,0.00412,0.45576,0.43475,0.30656,0.15021,0.81499,-0.06593,-2.94487,0.11639,-2.69737,-3.34378,8.42163,0.22056,9.15445,7.89774,3.18954,0.08907,3.49490,2.97845,22.82949,3.26952,35.05613,17.92547,-3.51913,1.71459,-0.36566,-11.37457,0.01131,0.02425,0.07731,-0.05595,1.01945,0.01047,1.04838,0.99026,3.89005,0.45944,5.26794,3.22078,-3.90495,0.31038,-3.14923,-4.69501
75,3.1322238445281982,17200,-5252.48402,-1293.10529,-9.67384,0.00166,3.12905,0.00145,-7628.23796,-5.34846,0.04075,-5.23871,-5.45744,0.11477,0.00141,0.11747,0.11219,0.70247,0.46729,1.80087,-0.76737,78.60484,2.83750,84.97352,72.49377,53.18934,10.96881,83.33514,35.20470,25.67079,3.55836,34.88676,19.62916,35.41024,3.03480,45.75793,28.71658,0.06019,0.01759,0.13891,0.02970,7.29913,1.05442,10.96466,4.99121,4289.38609,1238.59393,7412.80615,1863.19983,1930.57807,545.47040,3499.13208,865.91888,-1.65743,0.02566,-1.59795,-1.70576,0.44268,0.00467,0.45427,0.43083,0.31718,0.13784,0.78860,-0.01170,-2.93932,0.11118,-2.69598,-3.35440,8.32465,0.21627,8.83832,7.64595,3.21133,0.07680,3.35339,3.01408,22.20560,2.33171,32.41870,18.36328,-3.53596,1.75136,-0.71903,-10.82899,0.01119,0.02232,0.06787,-0.04127,1.02229,0.01188,1.05284,0.98405,3.86708,0.45259,5.69486,3.21177,-3.92583,0.30549,-3.24576,-4.72453
76,3.1171722412109375,17400,-5328.26979,-1402.48544,-10.19569,0.00184,3.11381,0.00146,-5032.00360,-5.33523,0.04069,-5.22994,-5.44399,0.12052,0.00169,0.12347,0.11751,0.72997,0.51338,2.26392,-0.52077,76.77869,3.16952,83.34280,68.54501,54.49120,11.85773,85.85855,35.70657,25.14882,2.75151,33.65058,19.04273,37.93853,3.20426,54.14049,31.00431,0.06686,0.02116,0.17688,0.03471,7.88355,1.17741,11.73488,5.44281,4451.39822,1307.84510,7433.83154,2090.59253,2233.46546,613.93484,3846.62012,989.34381,-1.64205,0.02827,-1.55930,-1.70853,0.44570,0.00511,0.45980,0.43306,0.31552,0.13771,0.69883,-0.01685,-2.95092,0.11424,-2.71562,-3.29232,8.34495,0.24315,9.06743,7.75455,3.25427,0.08110,3.44538,3.03882,22.63302,2.49994,35.77449,18.68892,-3.53111,1.59970,-0.36326,-9.55981,0.01538,0.02244,0.08080,-0.04494,1.03631,0.01108,1.06573,1.01097,3.96702,0.45818,5.52944,3.17004,-3.93391,0.32832,-3.26029,-5.00757
77,3.133800506591797,17600,-5439.23188,-1250.14971,-6.37118,0.00169,3.13085,0.00122,-5213.20079,-5.34575,0.04300,-5.23325,-5.45813,0.12654,0.00175,0.12965,0.12351,0.70222,0.42415,1.68860,-0.48095,74.79139,3.13247,82.04552,67.34367,56.86457,11.99037,93.17394,38.35029,27.74049,3.14994,38.49993,20.11761,38.68563,3.20345,49.38888,31.49043,0.06770,0.02063,0.15072,0.03291,7.73727,1.03226,10.29306,5.52750,4533.88299,1339.70995,8079.04297,1822.70886,2553.40808,552.69700,3863.25464,1165.92554,-1.62998,0.02605,-1.57141,-1.69275,0.44762,0.00430,0.45866,0.43708,0.33059,0.14454,0.67530,-0.02002,-2.95493,0.11392,-2.71767,-3.36515,8.33969,0.20524,8.81767,7.76928,3.30025,0.08850,3.55841,3.05010,23.01786,2.47658,34.80394,18.47549,-3.71321,1.60664,-0.75423,-11.64419,0.01419,0.02271,0.07384,-0.05005,1.04584,0.01088,1.07852,1.01705,3.98261,0.39909,5.28332,3.28084,-4.01960,0.33355,-3.27652,-4.89762
78,3.1497960090637207,17800,-5485.67800,-826.71374,-3.95601,0.00185,3.14641,0.00147,-6100.52425,-5.35962,0.04326,-5.24852,-5.46618,0.13312,0.00179,0.13610,0.12969,0.67639,0.47010,1.82211,-0.51717,72.23307,3.44889,80.88928,62.70792,61.82386,12.40387,99.77010,40.77547,30.31190,4.56905,48.03137,21.69129,41.11307,3.25824,53.19532,33.32454,0.07055,0.02352,0.14628,0.02923,8.51805,1.17280,11.45475,5.89842,4659.74142,1340.29934,7991.34766,1884.87012,2494.93029,762.04884,4685.43750,800.59961,-1.62462,0.02673,-1.55878,-1.68747,0.44910,0.00561,0.46216,0.43221,0.34639,0.13631,0.73460,0.00088,-2.91942,0.11096,-2.71807,-3.34165,8.33501,0.23267,8.89382,7.74349,3.31865,0.08261,3.53836,3.08123,22.87277,2.57599,33.27882,18.53949,-3.82550,1.63524,-0.82587,-10.80669,0.01259,0.02154,0.08455,-0.03959,1.04974,0.01092,1.08407,1.01956,3.99882,0.38728,5.38733,3.27269,-4.00633,0.27600,-3.37856,-4.66569
79,2.954174518585205,18000,-5409.73562,-1347.50959,-7.03706,0.00179,2.95092,0.00140,-6474.96528,-5.36309,0.04160,-5.25994,-5.47441,0.13884,0.00151,0.14144,0.13613,0.51422,0.48360,1.75845,-0.71252,69.47645,3.37258,78.57339,60.97155,65.87813,13.52486,107.63467,41.63608,33.20221,4.01859,46.98536,23.65890,41.15488,3.34124,51.18081,33.30508,0.07379,0.02285,0.16660,0.03138,8.14916,1.18173,12.00998,5.13010,4782.93127,1448.55906,8276.02051,1458.49939,2770.06981,521.79553,4257.61768,1052.88013,-1.61020,0.03087,-1.54517,-1.70113,0.44906,0.00473,0.46136,0.43380,0.34494,0.14867,0.78818,0.04671,-2.90878,0.10331,-2.70992,-3.28027,8.26029,0.24472,8.89589,7.64059,3.32810,0.07521,3.50766,3.15182,22.34763,2.16218,30.54436,18.60094,-3.72803,1.44320,-0.90270,-8.11088,0.01423,0.01865,0.06908,-0.03725,1.05307,0.01008,1.08436,1.03086,3.96115,0.35254,5.11520,3.24603,-3.99118,0.29292,-3.15099,-4.84246
80,2.6373612880706787,18200,-5442.95427,-1220.07978,-6.31755,0.00178,2.63432,0.00122,-4480.52483,-5.35230,0.04081,-5.23552,-5.46113,0.14389,0.00129,0.14636,0.14146,0.45764,0.48227,1.61422,-0.70868,67.04085,3.23485,75.32455,59.53508,66.46207,12.98976,100.46567,44.80176,33.20475,3.99598,44.23772,23.18214,43.17386,3.34766,53.10910,33.25012,0.07087,0.02001,0.15415,0.03278,8.61232,1.19145,11.72303,6.16658,4936.93501,1462.24916,8557.65918,2099.42383,2854.26581,633.52660,4481.40430,1148.08044,-1.59902,0.03159,-1.52175,-1.68499,0.45014,0.00472,0.46133,0.43782,0.35891,0.12423,0.87674,0.05010,-2.91258,0.10711,-2.71490,-3.21123,8.23604,0.24907,8.83986,7.63375,3.33168,0.07567,3.52260,3.15664,22.34876,2.05740,30.27173,18.48461,-3.92113,1.66739,-0.96786,-10.30392,0.00539,0.01858,0.05410,-0.04073,1.05881,0.00993,1.08428,1.03104,3.97128,0.30932,4.89187,3.35423,-3.97690,0.26678,-3.38727,-5.06246
81,3.1495354175567627,18400,-5506.61975,-1150.91912,-6.51122,0.00181,3.14625,0.00141,-5885.74014,-5.33629,0.04144,-5.21961,-5.43100,0.14941,0.00175,0.15270,0.14640,0.52816,0.51516,1.78643,-0.66485,64.37776,3.25277,71.88026,57.09752,66.66766,12.77366,99.08803,45.75712,33.31190,4.61051,49.94785,24.65955,45.03153,3.52034,61.46824,37.63421,0.08040,0.02694,0.17608,0.03341,8.98770,1.21174,13.72451,6.61856,5009.09334,1460.01950,8523.13672,2443.97046,2938.14711,801.91897,5185.32373,1108.94885,-1.59772,0.03398,-1.52026,-1.67731,0.44527,0.00499,0.46116,0.43394,0.33841,0.13919,0.81743,-0.04228,-2.90013,0.08793,-2.71709,-3.11741,8.27797,0.27106,8.94936,7.64978,3.37060,0.08330,3.62359,3.17758,22.22692,1.75885,28.37931,18.11639,-3.84523,1.73944,0.27903,-12.37638,0.00390,0.01917,0.04785,-0.05049,1.06438,0.01158,1.09997,1.03771,3.96930,0.27782,4.89948,3.42638,-3.97495,0.26771,-3.45260,-4.86233
82,3.100048065185547,18600,-5698.82339,-864.90150,-3.62638,0.00199,3.09681,0.00120,-5512.89693,-5.35991,0.04365,-5.22690,-5.47118,0.15551,0.00164,0.15854,0.15273,0.43907,0.37904,1.42273,-0.57305,61.43011,3.49170,69.70303,53.19192,72.70275,13.58823,107.05843,46.09893,37.58697,4.95099,52.09449,27.30125,47.31058,3.58037,56.54504,38.01065,0.08270,0.02845,0.21280,0.03648,9.67481,1.32052,14.82818,7.17658,5141.39730,1462.77841,7955.58984,2313.91724,3067.08918,625.10111,5415.52588,1829.66187,-1.58457,0.02768,-1.51134,-1.65833,0.44481,0.00436,0.45700,0.43379,0.36296,0.12551,0.71183,0.07282,-2.90204,0.09446,-2.69083,-3.19466,8.23603,0.20370,8.76888,7.69054,3.38174,0.08286,3.61025,3.16429,22.74585,1.97254,30.04523,19.00411,-3.91921,1.55305,-0.74851,-9.43923,0.01222,0.01948,0.05054,-0.05350,1.07019,0.01067,1.09748,1.04289,4.06865,0.29744,5.11059,3.33351,-4.06980,0.29381,-3.48853,-5.21252
83,2.9782724380493164,18800,-5625.93710,-841.62900,-3.27074,0.00178,2.97497,0.00146,-5391.22711,-5.36087,0.04081,-5.25088,-5.45951,0.16285,0.00268,0.16725,0.15858,0.63236,0.40092,1.50743,-0.43706,57.62735,2.43281,64.61049,51.99498,58.39062,10.90804,112.26713,42.18351,39.01357,4.07633,53.12304,29.81722,49.48686,3.27733,60.46295,41.52685,0.08499,0.02692,0.17424,0.03327,10.18343,1.22913,13.73910,7.23225,3296.09821,1294.41533,8813.07031,1360.05261,3165.17277,592.65917,4546.34033,1805.60400,-1.58820,0.02875,-1.52097,-1.65453,0.44794,0.00520,0.45981,0.43512,0.37107,0.11566,0.74819,0.12086,-2.93482,0.10596,-2.71424,-3.31430,8.34833,0.22025,8.82474,7.76149,3.39710,0.08240,3.65135,3.20620,22.68720,2.08961,31.29282,19.01237,-3.98063,1.94227,-0.20395,-12.41235,0.01129,0.02221,0.06955,-0.07183,1.07817,0.01152,1.10437,1.04973,4.10769,0.33827,5.12472,3.35399,-4.08108,0.29668,-3.50841,-5.00010
84,3.011528968811035,19000,-5880.49707,-1575.44495,-9.12947,0.00197,3.00805,0.00144,-7085.64976,-5.33598,0.03928,-5.23583,-5.45201,0.17079,0.00196,0.17457,0.16730,0.47743,0.42469,1.50133,-0.74144,55.15053,2.28430,60.76199,46.26214,54.71671,5.55287,80.29634,42.58202,41.05270,5.33149,59.92029,28.78695,52.08998,3.30255,61.05594,43.85447,0.09407,0.03145,0.23733,0.03892,10.70862,1.40817,14.50632,7.85254,3509.24127,801.63895,6025.11426,1614.54138,3255.79128,885.50396,5694.12061,1215.33936,-1.56709,0.02919,-1.50494,-1.65341,0.44848,0.00524,0.46250,0.43512,0.38418,0.13442,0.77634,0.04591,-2.90985,0.11062,-2.63818,-3.22807,8.27023,0.24070,8.85792,7.58030,3.41152,0.07961,3.63250,3.16380,22.82751,2.02099,28.67279,18.33833,-4.13312,1.72159,-0.79735,-12.15974,0.01673,0.02296,0.06290,-0.04879,1.08734,0.01240,1.11694,1.05193,4.11590,0.29808,5.06254,3.53080,-4.27657,0.47050,-3.28283,-5.83579
85,2.9264562129974365,19200,-5573.80232,-969.35842,-4.25957,0.00220,2.92299,0.00122,-4561.29052,-5.36197,0.04048,-5.25106,-5.46500,0.17985,0.00306,0.18502,0.17461,0.64172,0.37771,1.58352,-0.43975,50.67291,2.88575,57.59880,42.22234,57.13245,7.37207,82.33976,44.83979,43.52511,6.55439,70.33190,32.90564,55.07885,4.27073,68.60231,47.58540,0.10034,0.03789,0.24437,0.04542,11.39117,1.57753,16.88701,7.91374,3452.54628,1016.74889,6251.32910,1665.91052,2997.62472,937.60091,5374.86816,1312.43262,-1.59024,0.02428,-1.52348,-1.64869,0.44649,0.00497,0.46097,0.43321,0.34710,0.12386,0.72303,0.04076,-2.93882,0.10766,-2.65499,-3.32236,8.37368,0.21942,8.90783,7.74451,3.41158,0.08051,3.59438,3.19546,22.89672,2.02931,29.73689,18.26373,-4.01327,1.65976,-0.81871,-10.75850,0.02313,0.02150,0.07953,-0.03652,1.07945,0.01203,1.11669,1.04429,4.10509,0.28775,5.22576,3.49249,-4.10870,0.38339,-3.46890,-5.44869
86,3.0710911750793457,19400,-5775.99254,-676.87756,-2.76135,0.00231,3.06754,0.00119,-7053.90578,-5.36816,0.04599,-5.25109,-5.49078,0.18894,0.00217,0.19301,0.18505,0.45698,0.25128,1.07770,-0.23497,46.59292,2.92400,52.91209,38.79378,60.23684,6.36737,83.71215,45.83947,46.74566,6.05572,72.29567,34.51682,57.02258,3.83239,68.15788,48.52744,0.09879,0.03449,0.24334,0.03311,11.42253,1.45617,15.43802,8.14824,4080.25956,923.65658,7601.23926,1884.15234,3599.86810,903.81512,6112.85352,1342.48279,-1.58191,0.01800,-1.52473,-1.61887,0.44702,0.00495,0.45969,0.43508,0.36981,0.11271,0.91287,0.10558,-2.92296,0.11221,-2.69094,-3.32371,8.27420,0.15081,8.64801,7.85834,3.38296,0.08646,3.60338,3.14416,23.23673,3.03164,35.78192,18.17020,-4.13913,1.58984,-0.80250,-9.73510,0.02536,0.02237,0.09634,-0.03102,1.07558,0.00881,1.09933,1.05702,4.06753,0.28615,4.94428,3.53141,-4.16348,0.48142,-3.38406,-5.69799
87,3.1517698764801025,19600,-5911.12665,-1560.61354,-9.56951,0.00157,3.14871,0.00142,-6564.54186,-5.36867,0.04456,-5.27502,-5.51540,0.19601,0.00186,0.19941,0.19306,0.32070,0.45837,1.40120,-1.01612,42.96182,2.63963,48.57551,34.42585,60.84593,6.21137,78.25777,48.42378,48.40265,7.15300,68.59841,33.06519,58.94713,3.66681,70.72964,51.68313,0.10489,0.03966,0.27783,0.04401,11.89796,1.42967,16.71385,9.09632,4288.42597,1009.23949,6830.84375,1995.37793,3523.91631,1166.68017,6574.66113,1592.56506,-1.57971,0.03520,-1.48074,-1.65422,0.44412,0.00578,0.45696,0.42887,0.40349,0.15098,0.94842,0.09601,-2.91528,0.13674,-2.68336,-3.39423,8.19685,0.28075,8.85694,7.37772,3.38648,0.08776,3.61868,3.13056,23.00688,2.91614,36.16309,18.58129,-4.23698,1.82779,-0.89682,-12.20478,0.02261,0.02098,0.08065,-0.02852,1.07014,0.01095,1.09958,1.04453,4.06165,0.28640,4.89653,3.42265,-4.22143,0.42872,-3.47712,-5.58697
88,3.1637027263641357,19800,-5793.36818,-1086.71113,-5.53526,0.00196,3.16026,0.00142,-4922.93953,-5.36886,0.04554,-5.25288,-5.49644,0.20070,0.00077,0.20209,0.19943,0.12756,0.36312,1.07323,-0.82978,39.24336,2.99620,45.77697,29.70549,62.83734,6.20202,85.96139,46.87959,61.08638,17.07478,118.83530,37.30863,60.84515,3.54060,71.43803,53.96714,0.10328,0.04317,0.29650,0.04938,12.17245,1.34518,16.18027,9.43102,4511.90876,843.86244,6669.85449,2283.58130,4980.03463,2051.17606,10603.34082,2004.45959,-1.56282,0.03019,-1.48104,-1.63440,0.44241,0.00472,0.45617,0.43028,0.38603,0.17342,1.19376,0.09355,-2.89314,0.13647,-2.68149,-3.48793,8.07941,0.22589,8.66616,7.48377,3.36376,0.07870,3.55561,3.17694,22.98987,2.71419,33.72979,17.73118,-4.05200,1.69242,-0.83599,-11.68647,0.01775,0.02333,0.08134,-0.03594,1.07075,0.01065,1.09785,1.04484,4.12406,0.45805,5.50191,3.41369,-4.20466,0.39178,-3.35306,-5.19757
89,3.1547486782073975,20000,-5792.48723,-1235.96571,-6.45717,0.00157,3.15194,0.00119,-6466.15580,-5.39363,0.03845,-5.29709,-5.49383,0.20335,0.00053,0.20410,0.20211,0.08234,0.40797,1.19062,-0.85192,35.33874,3.86794,43.13504,26.39004,64.90147,7.82257,96.00844,47.51595,81.18496,19.07062,150.60391,49.29769,62.19174,4.18693,76.40453,53.86947,0.11272,0.04257,0.25445,0.04091,12.84555,1.73313,19.92567,9.83636,4321.11623,1069.96654,6837.24316,2087.07861,6478.17245,1981.10235,11815.26172,3076.19824,-1.56879,0.03023,-1.49407,-1.64673,0.43974,0.00537,0.45031,0.42579,0.33343,0.11317,0.67535,0.08775,-2.89924,0.16274,-2.65219,-3.56448,8.05161,0.25599,8.74714,7.46497,3.36712,0.08427,3.59003,3.12961,22.87038,2.99334,34.52111,18.45470,-4.03509,1.47493,-1.16913,-9.99915,0.00706,0.02026,0.06010,-0.03932,1.06229,0.01240,1.09448,1.03077,3.99634,0.35221,5.47866,3.41116,-4.22607,0.39257,-3.46349,-5.66220
90,3.1631953716278076,20200,-6083.00006,-1033.27507,-5.17643,0.00159,3.16013,0.00142,-7385.65320,-5.39969,0.04253,-5.28526,-5.50019,0.20554,0.00176,0.20967,0.20406,0.26156,0.47353,1.26877,-0.75783,30.45927,4.04281,40.20723,20.49431,65.05885,7.00564,84.48684,47.01550,69.61362,17.87090,140.10316,44.96483,63.50572,4.51194,80.45780,54.42688,0.11208,0.04563,0.30430,0.04433,12.92900,1.65832,18.61277,9.41542,4765.75967,1055.84625,8194.34863,2079.38818,4870.62829,1879.87468,11437.71777,1788.89404,-1.59454,0.03736,-1.50870,-1.68014,0.43515,0.00540,0.45144,0.42080,0.30582,0.13375,0.89709,-0.02684,-2.94869,0.18659,-2.68890,-3.59439,8.16583,0.29938,8.80115,7.52284,3.36132,0.08722,3.57329,3.17454,22.77169,2.52385,32.42903,18.39207,-4.06802,1.65003,-0.89441,-11.98169,0.00920,0.01953,0.06484,-0.03296,1.05513,0.01170,1.08500,1.02424,4.07651,0.43455,5.41418,3.47949,-4.14460,0.34598,-3.24541,-5.40819
91,3.1409878730773926,20400,-6012.11201,-1568.01893,-7.53166,0.00167,3.13785,0.00140,-5176.85960,-5.40739,0.04115,-5.30241,-5.50929,0.21371,0.00224,0.21760,0.20973,0.32418,0.37532,1.28568,-0.56265,26.03918,3.15197,33.63169,17.54991,67.06612,6.06631,84.45208,52.30031,59.90977,6.85630,86.02683,46.95881,66.68550,4.44165,79.46822,56.92812,0.11713,0.04421,0.31946,0.03638,13.47955,1.53835,17.25130,9.80005,4989.37450,884.85616,7058.36523,2594.58496,3851.65015,908.62510,6822.12354,1529.21924,-1.59964,0.03189,-1.53297,-1.67108,0.43891,0.00490,0.45289,0.42565,0.37664,0.18028,0.96602,0.00892,-2.94650,0.16786,-2.68712,-3.67029,8.21005,0.24283,8.82502,7.63846,3.36444,0.08393,3.63335,3.17482,22.86324,2.56275,32.48758,18.13160,-4.04379,1.67791,-0.76996,-9.27399,0.00693,0.02082,0.06794,-0.06149,1.05559,0.01088,1.08335,1.03063,4.07284,0.41013,5.88167,3.40668,-4.20969,0.32084,-3.46439,-5.10630
92,3.164778232574463,20600,-5966.80177,-1251.52589,-6.23770,0.00165,3.16160,0.00147,-5059.79453,-5.41608,0.03771,-5.30848,-5.51967,0.22228,0.00287,0.22706,0.21767,0.34936,0.41089,1.37470,-0.88874,21.58611,3.65233,29.79026,12.62369,71.49781,8.14218,96.97652,56.34937,60.18572,7.14424,87.12259,45.54624,69.47386,4.26456,83.90872,61.87138,0.12479,0.05043,0.39650,0.05395,14.16592,1.76225,21.27991,10.60242,5122.45384,1203.96061,8600.06152,2237.60059,3774.24167,1046.82741,7169.94287,1459.63306,-1.60183,0.03468,-1.49479,-1.69272,0.44123,0.00472,0.45540,0.43019,0.41284,0.17871,1.06689,0.05990,-2.95805,0.19012,-2.71726,-3.65355,8.23225,0.27318,8.92320,7.40350,3.36555,0.07686,3.57168,3.19230,22.99638,2.21052,30.34107,19.29554,-4.06147,1.60027,-1.19146,-10.43184,0.00401,0.02303,0.06841,-0.05311,1.05647,0.01095,1.08315,1.03038,4.19413,0.49500,5.77958,3.53748,-4.20901,0.32102,-3.55202,-5.25023
93,3.1215927600860596,20800,-5893.87155,-1239.42008,-7.42502,0.00172,3.11836,0.00145,-4661.92491,-5.44397,0.04485,-5.30899,-5.55934,0.22917,0.00108,0.23137,0.22709,0.15757,0.35498,1.37701,-0.88296,17.38224,3.14348,24.88725,7.85519,77.08811,7.65537,101.37048,61.10603,66.60026,9.61722,101.95902,48.44711,71.41744,4.06466,81.27012,62.73626,0.12954,0.05434,0.36330,0.05833,14.89386,1.67395,20.10733,11.50109,5245.82288,893.88814,7282.87354,3077.21094,4226.31950,1400.27170,9616.34180,1743.38367,-1.58479,0.03304,-1.51305,-1.69250,0.43776,0.00500,0.45104,0.42603,0.44074,0.21416,1.26040,0.10226,-2.94531,0.15281,-2.67990,-3.53976,8.10697,0.24095,8.93491,7.39963,3.36825,0.07788,3.62895,3.15806,22.76418,2.52501,33.31142,18.63489,-4.03063,1.73440,-0.89337,-9.95477,-0.00058,0.02094,0.06500,-0.05982,1.05627,0.01108,1.08895,1.02313,4.24659,0.57909,6.30858,3.36266,-4.25159,0.33282,-3.52797,-5.09011
