task,v_mean,v_std
forward_1.5_mixed,1.4349007944739005,0.0687532853460446
forward_2.5_mixed,2.4145639952310365,0.07121060125030998
forward_3.5_mixed,3.3971088705880126,0.09268836184660263
forward_4.5_mixed,4.434291924421717,0.08950116334671268
forward_5.5_mixed,5.459216288014462,0.0625496301890417
forward_6.5_mixed,6.5033260398392665,0.06211451414232502
forward_7.5_mixed,7.487478255659814,0.06732225792237424
forward_8.5_mixed,8.50482594921044,0.061842766235537694
forward_9.5_mixed,9.491542107219292,0.0747474564663174
