task,v_mean,v_std
forward_1,1.0028725047742335,0.053231684642975584
forward_2,1.990648013329753,0.05979371207451807
forward_3,2.995031020556184,0.06094078560318596
forward_4,3.9854670471351095,0.06906408699542406
forward_5,4.98092006739626,0.07232531901944311
forward_6,6.002660982566743,0.059797282607043666
forward_7,7.000914205749298,0.07185730013596235
forward_8,8.003299179541147,0.061619214843604525
forward_9,8.999259200310409,0.07646302686568549
forward_10,9.984694111625727,0.08441308171427822
